    , time                     , open   , high   , low    , close  , volume, bb_upper, bb_middle, bb_lower, percentb
1034, 2024-11-04 15:45:00+00:00, 68426.7, 68565.5, 68329.8, 68565.5,    3.7,  68652.8,   68425.0,  68197.2, 0.8
1035, 2024-11-04 15:50:00+00:00, 68565.4, 68750.0, 68565.4, 68734.5,    5.2,  68687.8,   68432.2,  68176.5, 1.1
1036, 2024-11-04 15:55:00+00:00, 68734.5, 68734.5, 68562.0, 68642.2,    9.8,  68691.1,   68433.0,  68174.8, 0.9
1037, 2024-11-04 16:00:00+00:00, 68642.2, 68649.4, 68479.5, 68502.9,    7.3,  68681.5,   68429.4,  68177.3, 0.6
1038, 2024-11-04 16:05:00+00:00, 68498.0, 68682.6, 68460.2, 68648.0,    5.4,  68680.8,   68429.2,  68177.7, 0.9
1039, 2024-11-04 16:10:00+00:00, 68652.4, 68808.0, 68632.6, 68656.5,   18.7,  68710.3,   68446.6,  68182.8, 0.9
1040, 2024-11-04 16:15:00+00:00, 68645.9, 68645.9, 68393.1, 68449.9,   24.4,  68710.1,   68453.2,  68196.3, 0.5
1041, 2024-11-04 16:20:00+00:00, 68454.9, 68462.9, 68320.5, 68320.5,    4.3,  68711.8,   68449.3,  68186.9, 0.3
1042, 2024-11-04 16:25:00+00:00, 68326.9, 68345.5, 68236.6, 68285.8,   10.2,  68715.0,   68444.0,  68173.0, 0.2
1043, 2024-11-04 16:30:00+00:00, 68285.0, 68341.6, 68212.8, 68233.5,   12.1,  68718.1,   68442.3,  68166.4, 0.1
1044, 2024-11-04 16:35:00+00:00, 68233.4, 68330.5, 68102.0, 68114.6,   19.9,  68738.7,   68428.4,  68118.0, -0.0
1045, 2024-11-04 16:40:00+00:00, 68114.6, 68123.7, 67832.8, 67960.1,   31.5,  68777.7,   68406.1,  68034.6, -0.1
1046, 2024-11-04 16:45:00+00:00, 67949.9, 67998.9, 67780.3, 67793.9,   30.6,  68834.6,   68376.9,  67919.2, -0.1
1047, 2024-11-04 16:50:00+00:00, 67800.2, 67884.5, 67750.0, 67750.0,   25.6,  68883.2,   68351.5,  67819.9, -0.1
1048, 2024-11-04 16:55:00+00:00, 67750.1, 67771.7, 67622.8, 67751.2,   35.2,  68914.1,   68321.5,  67729.0, 0.0
1049, 2024-11-04 17:00:00+00:00, 67745.0, 67745.0, 67520.1, 67545.7,   19.3,  68962.2,   68280.7,  67599.1, -0.0
1050, 2024-11-04 17:05:00+00:00, 67545.8, 67657.3, 67528.2, 67548.0,   12.2,  68980.2,   68234.5,  67488.8, 0.0
1051, 2024-11-04 17:10:00+00:00, 67550.4, 67621.2, 67448.0, 67448.1,   22.6,  69004.2,   68187.8,  67371.3, 0.0
1052, 2024-11-04 17:15:00+00:00, 67456.5, 67559.3, 67356.2, 67356.2,   19.5,  69023.5,   68136.5,  67249.4, 0.1
1053, 2024-11-04 17:20:00+00:00, 67356.1, 67725.0, 67245.3, 67725.0,   38.4,  68995.7,   68101.6,  67207.5, 0.3
1054, 2024-11-04 17:25:00+00:00, 67725.0, 67873.9, 67711.4, 67797.9,   14.6,  68940.1,   68063.2,  67186.3, 0.3
1055, 2024-11-04 17:30:00+00:00, 67798.7, 67924.8, 67798.7, 67903.3,    9.2,  68844.5,   68021.7,  67198.8, 0.4
